Financier Patisserie,Patisserie,     financierpatisserie.com          ,"     87 E 42nd St, New York, NY 10017          ",     (212) 973-1010               
Mille-feuille Bakery Cafe,Patisserie,     millefeuille-nyc.com          ,"     2175 Broadway, New York, NY 10023          ",     (212) 362-6261               
La Bergamote,French Restaurant,     labergamotenyc.com          ,"     177 9th Ave, New York, NY 10011          ",     (212) 627-9010               
Mille-Feuille Bakery,Bakery,     millefeuille-nyc.com          ,"     552 LaGuardia Pl, New York, NY 10012          ",     (212) 533-4698               
Maison Kayser,French Restaurant,     maison-kayser-usa.com          ,"     921 Broadway, New York, NY 10010          ",     (212) 979-1600               
Amy's Bread,Bakery,     amysbread.com          ,"     672 9th Ave, New York, NY 10036          ",     (212) 977-2670               
Le Pain Quotidien,Restaurant,     lepainquotidien.com          ,"     16 E 44th St, New York, NY 10017          ",     (212) 922-2976               
Amy's Bread at Chalsty's Café,Cafe,     amysbread.com          ,"     Museum of the City of New York, 1220 5th Ave, New York, NY 10029          ",     (212) 534-1672               
Paris Baguette,Bakery,     parisbaguette.com          ,"     6 W 32nd St, New York, NY 10001          ",     (212) 244-0404               
Pain D'Avignon @ The Plaza,Bakery,     cafedavignon.com          ,"     1 W 58th St, New York, NY 10019          ",     (212) 758-2756               
Tisserie,Bakery,     tisserie.com          ,"     870 7th Ave, New York, NY 10019          ",     (917) 409-2891               
Ladurée New York Madison,Patisserie,     laduree.fr          ,"     864 Madison Ave, New York, NY 10021          ",     (646) 558-3157               
Ceci Cela Patisserie,Bakery,     cecicelanyc.com          ,"     14 Delancey St, New York, NY 10002          ",     (212) 274-9179               
Margot Patisserie,Cafe,     margotpatisserie.com          ,"     2109 Broadway & W74th street, New York, NY 10023          ",     (212) 721-0076               
Pain D'Avignon,Bakery,     cafedavignon.com          ,"     120 Essex St, New York, NY 10002          ",     (212) 673-4950               
Patisserie Chanson,Bakery,     patisseriechanson.com          ,"     20 W 23rd St, New York, NY 10010          ",     (929) 423-8880               
Ladurée New York Soho,French Restaurant,     laduree.fr          ,"     398 W Broadway, New York, NY 10012          ",     (646) 392-7868               
Balthazar,French Restaurant,     balthazarny.com          ,"     80 Spring St, New York, NY 10012          ",     (212) 965-1414               
Dominique Ansel Bakery,Bakery,     dominiqueansel.com          ,"     189 Spring St, New York, NY 10012          ",     (212) 219-2773               
François Payard Bakery,Bakery,     payard.com          ,"     116 W Houston St, New York, NY 10012          ",     (212) 995-0888               
Bouchon Bakery,Bakery,     thomaskeller.com          ,"     1 Rockefeller Plaza, New York, NY 10020          ",     (212) 782-3890               
Maman,Coffee Shop,     mamannyc.com          ,"     837 Washington St, New York, NY 10014          ",     Add phone number   
Épicerie Boulud,Bakery,     epicerieboulud.com          ,"     1900 Broadway, New York, NY 10023          ",     (212) 595-9606               
Gourmandises de France,Bakery,     gourmandisesdefrance.com          ,"     1437 1st Avenue, New York, NY 10021          ",     (212) 988-1414               
Patisserie Florentine,Bakery,     patisserieflorentine.com          ,"     280 E 10th St, New York, NY 10009          ",     (212) 995-0300               
Aux Merveilleux de Fred,Bakery,     auxmerveilleux.com          ,"     37 8th Ave, New York, NY 10014          ",     (917) 475-1992               
The City Bakery,Bakery,     thecitybakery.com          ,"     3 W 18th St, New York, NY 10011          ",     (212) 366-1414               
Pret A Manger,Sandwich Shop,     pret.com          ,"     425 Madison Ave, New York, NY 10017          ",     (646) 537-0020               
Bakeri NYC,Coffee Shop,     bakeribrooklyn.com          ,"     627 E 6th St, New York, NY 10009          ",     (212) 388-1276               
Birdbath Bakery,Bakery,     thecitybakery.com          ,"     518 Columbus Ave, New York, NY 10024          ",     (212) 488-4155               
La Tropezienne Bakery,Bakery,     twobakeriesandarestaurant.com          ,"     2131 1st Ave, First Floor, New York, NY 10029          ",     (212) 860-5324               
Noglu,Gluten-Free Restaurant,     noglu.fr          ,"     1266 Madison Ave, New York, NY 10128          ",     (646) 895-9798               
