Maison Kayser,French Restaurant,     maison-kayser-usa.com          ,"     8 W 40th St, New York, NY 10018          ",     (212) 354-2300               
Financier Patisserie,Patisserie,     financierpatisserie.com          ,"     87 E 42nd St, New York, NY 10017          ",     (212) 973-1010               
Pomme Palais,Bakery,     pommepalais.com          ,"     Lotte New York Palace, 30 E 51st St, New York, NY 10022          ",     (212) 303-7755               
Bouchon Bakery,Bakery,     thomaskeller.com          ,"     1 Rockefeller Plaza, New York, NY 10020          ",     (212) 782-3890               
Épicerie Boulud,Bakery,     epicerieboulud.com          ,"     1900 Broadway, New York, NY 10023          ",     (212) 595-9606               
Eclair Bakery,Bakery,     eclairbakery-nyc.com          ,"     305 E 53rd St, New York, NY 10022          ",     (212) 759-2253               
Lafayette,French Restaurant,     lafayetteny.com          ,"     380 Lafayette St, New York, NY 10003          ",     (212) 533-3000               
Tous Les Jours,Bakery,     tljus.com          ,"     31 W 32nd St, New York, NY 10001          ",     (212) 967-9661               
Paris Baguette,Bakery,     parisbaguetteusa.com          ,"     591 Lexington Ave #12, New York, NY 10022          ",     (212) 838-0404               
La Tropezienne Bakery,Bakery,     twobakeriesandarestaurant.com          ,"     2131 1st Ave, First Floor, New York, NY 10029          ",     (212) 860-5324               
Mille-feuille Bakery Cafe,Patisserie,     millefeuille-nyc.com          ,"     2175 Broadway, New York, NY 10023          ",     (212) 362-6261               
Margot Patisserie,Cafe,     margotpatisserie.com          ,"     2109 Broadway & W74th street, New York, NY 10023          ",     (212) 721-0076               
La Maison du Macaron,Patisserie,     nymacaron.com          ,"     132 W 23rd St, New York, NY 10011          ",     (212) 243-2757               
Pain d'Epices,Bakery,     paindepicesnyc.com          ,"     104 W 70th St, New York, NY 10023          ",     (212) 496-1450               
Dominique Ansel Bakery,Bakery,     dominiqueansel.com          ,"     189 Spring St, New York, NY 10012          ",     (212) 219-2773               
La Bergamote,French Restaurant,     labergamotenyc.com          ,"     177 9th Ave, New York, NY 10011          ",     (212) 627-9010               
Cannelle Patisserie,Patisserie,     cannellepatisserie.com          ,"     7559 31st Ave, East Elmhurst, NY 11370          ",     (718) 565-6200               
Ceci Cela Patisserie,Bakery,     cecicelanyc.com          ,"     14 Delancey St, New York, NY 10002          ",     (212) 274-9179               
